# raw reweighted histogram (10 bins/decade). Fold this for exact per-bin content; errors are Poisson on (n,p)t.
E_lo_eV,E_hi_eV,t_lo_ms,t_hi_ms,np_counts,ratio_ng_np,ipc_per_pulse,ipc_per_day,ipc_per_pulse_stat_err
1.000000e-03,1.258925e-03,3.973920e+01,4.458812e+01,0.000000e+00,1.034023e-08,0.000000e+00,0.000000e+00,0.000000e+00
1.258925e-03,1.584893e-03,3.541760e+01,3.973920e+01,0.000000e+00,1.034028e-08,0.000000e+00,0.000000e+00,0.000000e+00
1.584893e-03,1.995262e-03,3.156597e+01,3.541760e+01,0.000000e+00,1.034034e-08,0.000000e+00,0.000000e+00,0.000000e+00
1.995262e-03,2.511886e-03,2.813320e+01,3.156597e+01,3.261770e+05,1.034043e-08,5.177601e-08,9.987592e-04,9.065711e-11
2.511886e-03,3.162278e-03,2.507374e+01,2.813320e+01,5.178850e+05,1.034053e-08,8.220779e-08,1.585788e-03,1.142342e-10
3.162278e-03,3.981072e-03,2.234699e+01,2.507374e+01,7.644380e+05,1.034066e-08,1.213465e-07,2.340774e-03,1.387894e-10
3.981072e-03,5.011872e-03,1.991678e+01,2.234699e+01,1.054738e+06,1.034083e-08,1.674313e-07,3.229749e-03,1.630288e-10
5.011872e-03,6.309573e-03,1.775085e+01,1.991678e+01,1.526721e+06,1.034103e-08,2.423596e-07,4.675117e-03,1.961464e-10
6.309573e-03,7.943282e-03,1.582046e+01,1.775085e+01,2.533416e+06,1.034129e-08,4.021775e-07,7.758003e-03,2.526763e-10
7.943282e-03,1.000000e-02,1.410000e+01,1.582046e+01,4.030306e+06,1.034160e-08,6.398269e-07,1.234226e-02,3.187084e-10
1.000000e-02,1.258925e-02,1.256664e+01,1.410000e+01,5.950565e+06,1.034199e-08,9.447111e-07,1.822348e-02,3.872754e-10
1.258925e-02,1.584893e-02,1.120003e+01,1.256664e+01,8.646994e+06,1.034247e-08,1.372859e-06,2.648246e-02,4.668673e-10
1.584893e-02,1.995262e-02,9.982036e+00,1.120003e+01,1.250017e+07,1.034305e-08,1.984729e-06,3.828542e-02,5.613624e-10
1.995262e-02,2.511886e-02,8.896499e+00,9.982036e+00,1.803666e+07,1.034376e-08,2.863988e-06,5.524634e-02,6.743622e-10
2.511886e-02,3.162278e-02,7.929013e+00,8.896499e+00,2.405425e+07,1.034462e-08,3.819821e-06,7.368434e-02,7.788379e-10
3.162278e-02,3.981072e-02,7.066740e+00,7.929013e+00,2.994599e+07,1.034566e-08,4.755911e-06,9.174151e-02,8.690892e-10
3.981072e-02,5.011872e-02,6.298239e+00,7.066740e+00,3.530927e+07,1.034696e-08,5.608392e-06,1.081859e-01,9.438304e-10
5.011872e-02,6.309573e-02,5.613311e+00,6.298239e+00,3.773307e+07,1.034866e-08,5.994361e-06,1.156312e-01,9.758471e-10
6.309573e-02,7.943282e-02,5.002869e+00,5.613311e+00,3.608821e+07,1.035100e-08,5.734351e-06,1.106156e-01,9.545563e-10
7.943282e-02,1.000000e-01,4.458812e+00,5.002869e+00,3.148890e+07,1.035436e-08,5.005153e-06,9.654940e-02,8.919462e-10
1.000000e-01,1.258925e-01,3.973920e+00,4.458812e+00,2.400955e+07,1.035914e-08,3.818073e-06,7.365063e-02,7.792059e-10
1.258925e-01,1.584893e-01,3.541760e+00,3.973920e+00,1.800708e+07,1.036546e-08,2.865291e-06,5.527147e-02,6.752228e-10
1.584893e-01,1.995262e-01,3.156597e+00,3.541760e+00,1.355315e+07,1.037301e-08,2.158151e-06,4.163074e-02,5.862215e-10
1.995262e-01,2.511886e-01,2.813320e+00,3.156597e+00,1.145820e+07,1.038121e-08,1.826000e-06,3.522354e-02,5.394393e-10
2.511886e-01,3.162278e-01,2.507374e+00,2.813320e+00,1.095113e+07,1.038961e-08,1.746605e-06,3.369201e-02,5.277950e-10
3.162278e-01,3.981072e-01,2.234699e+00,2.507374e+00,1.082687e+07,1.039808e-08,1.728194e-06,3.333686e-02,5.252197e-10
3.981072e-01,5.011872e-01,1.991678e+00,2.234699e+00,1.082534e+07,1.040657e-08,1.729361e-06,3.335938e-02,5.256115e-10
5.011872e-01,6.309573e-01,1.775085e+00,1.991678e+00,1.061324e+07,1.041508e-08,1.696865e-06,3.273252e-02,5.208626e-10
6.309573e-01,7.943282e-01,1.582046e+00,1.775085e+00,1.050983e+07,1.042370e-08,1.681723e-06,3.244043e-02,5.187481e-10
7.943282e-01,1.000000e+00,1.410000e+00,1.582046e+00,1.049669e+07,1.043419e-08,1.681310e-06,3.243248e-02,5.189455e-10
1.000000e+00,1.258925e+00,1.256664e+00,1.410000e+00,1.049447e+07,1.045404e-08,1.684153e-06,3.248731e-02,5.198777e-10
1.258925e+00,1.584893e+00,1.120003e+00,1.256664e+00,1.052646e+07,1.048349e-08,1.694044e-06,3.267811e-02,5.221359e-10
1.584893e+00,1.988100e+00,1.000000e+00,1.120003e+00,1.042700e+07,1.051593e-08,1.683232e-06,3.246955e-02,5.212719e-10
