# in-gate IPC production spectrum (reweighted). t_ms=arrival time; dNdt in IPC pairs/pulse/ms; cdf=fraction of in-gate IPC with arrival<=t; E_eV=neutron energy
# integral(dNdt dt)= 6.578440e-05 IPC/pulse in-gate; ×1.929e+04 pulses/day; ×0.0021 capt→IPC; ×0.025 X17/IPC
t_ms,dNdt_ipc_per_pulse_per_ms,cdf,E_eV
1.000000e+00,1.493050e-05,0.000000e+00,1.988100e+00
1.002883e+00,1.488603e-05,6.534180e-04,1.976685e+00
1.005775e+00,1.484168e-05,1.306768e-03,1.965335e+00
1.008675e+00,1.479747e-05,1.960050e-03,1.954051e+00
1.011583e+00,1.475340e-05,2.613264e-03,1.942831e+00
1.014500e+00,1.470945e-05,3.266410e-03,1.931676e+00
1.017425e+00,1.466563e-05,3.919488e-03,1.920585e+00
1.020358e+00,1.462195e-05,4.572498e-03,1.909558e+00
1.023300e+00,1.457839e-05,5.225440e-03,1.898593e+00
1.026251e+00,1.453496e-05,5.878314e-03,1.887692e+00
1.029210e+00,1.449167e-05,6.531120e-03,1.876854e+00
1.032177e+00,1.444871e-05,7.183863e-03,1.866077e+00
1.035153e+00,1.440592e-05,7.836548e-03,1.855363e+00
1.038138e+00,1.436326e-05,8.489177e-03,1.844710e+00
1.041131e+00,1.432072e-05,9.141749e-03,1.834118e+00
1.044133e+00,1.427831e-05,9.794264e-03,1.823587e+00
1.047144e+00,1.423603e-05,1.044672e-02,1.813116e+00
1.050163e+00,1.419387e-05,1.109913e-02,1.802706e+00
1.053191e+00,1.415183e-05,1.175147e-02,1.792355e+00
1.056227e+00,1.410992e-05,1.240376e-02,1.782064e+00
1.059273e+00,1.406675e-05,1.305596e-02,1.771832e+00
1.062327e+00,1.402290e-05,1.370802e-02,1.761659e+00
1.065390e+00,1.397919e-05,1.435992e-02,1.751544e+00
1.068462e+00,1.393572e-05,1.501167e-02,1.741487e+00
1.071542e+00,1.389240e-05,1.566327e-02,1.731488e+00
1.074632e+00,1.384922e-05,1.631471e-02,1.721546e+00
1.077730e+00,1.380617e-05,1.696600e-02,1.711661e+00
1.080838e+00,1.376326e-05,1.761713e-02,1.701834e+00
1.083954e+00,1.372047e-05,1.826812e-02,1.692062e+00
1.087080e+00,1.367783e-05,1.891895e-02,1.682347e+00
1.090214e+00,1.363531e-05,1.956963e-02,1.672687e+00
1.093357e+00,1.359293e-05,2.022015e-02,1.663083e+00
1.096510e+00,1.355068e-05,2.087053e-02,1.653534e+00
1.099671e+00,1.350856e-05,2.152075e-02,1.644040e+00
1.102842e+00,1.346657e-05,2.217082e-02,1.634600e+00
1.106022e+00,1.342471e-05,2.282074e-02,1.625215e+00
1.109211e+00,1.338301e-05,2.347051e-02,1.615884e+00
1.112409e+00,1.334145e-05,2.412012e-02,1.606606e+00
1.115616e+00,1.330002e-05,2.476959e-02,1.597381e+00
1.118833e+00,1.325871e-05,2.541891e-02,1.588209e+00
1.122059e+00,1.321754e-05,2.606807e-02,1.579090e+00
1.125294e+00,1.317649e-05,2.671709e-02,1.570023e+00
1.128539e+00,1.313557e-05,2.736595e-02,1.561009e+00
1.131793e+00,1.309477e-05,2.801467e-02,1.552046e+00
1.135056e+00,1.305411e-05,2.866323e-02,1.543135e+00
1.138328e+00,1.301357e-05,2.931165e-02,1.534274e+00
1.141611e+00,1.297315e-05,2.995992e-02,1.525465e+00
1.144902e+00,1.293286e-05,3.060803e-02,1.516706e+00
1.148203e+00,1.289270e-05,3.125600e-02,1.507998e+00
1.151514e+00,1.285266e-05,3.190381e-02,1.499339e+00
1.154834e+00,1.281275e-05,3.255148e-02,1.490730e+00
1.158164e+00,1.277297e-05,3.319900e-02,1.482171e+00
1.161503e+00,1.273331e-05,3.384636e-02,1.473661e+00
1.164852e+00,1.269377e-05,3.449358e-02,1.465199e+00
1.168211e+00,1.265436e-05,3.514065e-02,1.456787e+00
1.171579e+00,1.261507e-05,3.578757e-02,1.448422e+00
1.174957e+00,1.257590e-05,3.643434e-02,1.440106e+00
1.178345e+00,1.253685e-05,3.708096e-02,1.431837e+00
1.181742e+00,1.249793e-05,3.772744e-02,1.423616e+00
1.185149e+00,1.245912e-05,3.837376e-02,1.415442e+00
1.188566e+00,1.242108e-05,3.901995e-02,1.407315e+00
1.191993e+00,1.238350e-05,3.966604e-02,1.399234e+00
1.195430e+00,1.234604e-05,4.031202e-02,1.391200e+00
1.198877e+00,1.230870e-05,4.095791e-02,1.383213e+00
1.202334e+00,1.227146e-05,4.160371e-02,1.375271e+00
1.205800e+00,1.223435e-05,4.224940e-02,1.367374e+00
1.209277e+00,1.219735e-05,4.289500e-02,1.359523e+00
1.212764e+00,1.216047e-05,4.354051e-02,1.351717e+00
1.216261e+00,1.212370e-05,4.418591e-02,1.343956e+00
1.219767e+00,1.208703e-05,4.483122e-02,1.336239e+00
1.223284e+00,1.205048e-05,4.547644e-02,1.328567e+00
1.226811e+00,1.201404e-05,4.612155e-02,1.320939e+00
