# raw reweighted histogram (10 bins/decade). Fold this for exact per-bin content; errors are Poisson on (n,p)t.
E_lo_eV,E_hi_eV,t_lo_ms,t_hi_ms,np_counts,ratio_ng_np,ipc_per_pulse,ipc_per_day,ipc_per_pulse_stat_err
1.000000e-03,1.258925e-03,3.973920e+01,4.458812e+01,0.000000e+00,1.034023e-08,0.000000e+00,0.000000e+00,0.000000e+00
1.258925e-03,1.584893e-03,3.541760e+01,3.973920e+01,0.000000e+00,1.034028e-08,0.000000e+00,0.000000e+00,0.000000e+00
1.584893e-03,1.995262e-03,3.156597e+01,3.541760e+01,0.000000e+00,1.034034e-08,0.000000e+00,0.000000e+00,0.000000e+00
1.995262e-03,2.511886e-03,2.813320e+01,3.156597e+01,6.565240e+05,1.034043e-08,6.107422e-08,1.178122e-03,7.537592e-11
2.511886e-03,3.162278e-03,2.507374e+01,2.813320e+01,1.037374e+06,1.034053e-08,9.650439e-08,1.861570e-03,9.475004e-11
3.162278e-03,3.981072e-03,2.234699e+01,2.507374e+01,1.506158e+06,1.034066e-08,1.401160e-07,2.702837e-03,1.141701e-10
3.981072e-03,5.011872e-03,1.991678e+01,2.234699e+01,2.062846e+06,1.034083e-08,1.919070e-07,3.701886e-03,1.336157e-10
5.011872e-03,6.309573e-03,1.775085e+01,1.991678e+01,2.954975e+06,1.034103e-08,2.749074e-07,5.302964e-03,1.599225e-10
6.309573e-03,7.943282e-03,1.582046e+01,1.775085e+01,4.843304e+06,1.034129e-08,4.505936e-07,8.691951e-03,2.047454e-10
7.943282e-03,1.000000e-02,1.410000e+01,1.582046e+01,7.697261e+06,1.034160e-08,7.161315e-07,1.381418e-02,2.581218e-10
1.000000e-02,1.258925e-02,1.256664e+01,1.410000e+01,1.125156e+07,1.034199e-08,1.046852e-06,2.019378e-02,3.120895e-10
1.258925e-02,1.584893e-02,1.120003e+01,1.256664e+01,1.629764e+07,1.034247e-08,1.516414e-06,2.925162e-02,3.756258e-10
1.584893e-02,1.995262e-02,9.982036e+00,1.120003e+01,2.343817e+07,1.034305e-08,2.180928e-06,4.207009e-02,4.504840e-10
1.995262e-02,2.511886e-02,8.896499e+00,9.982036e+00,3.354933e+07,1.034376e-08,3.121987e-06,6.022313e-02,5.390005e-10
2.511886e-02,3.162278e-02,7.929013e+00,8.896499e+00,4.484230e+07,1.034462e-08,4.173219e-06,8.050139e-02,6.231996e-10
3.162278e-02,3.981072e-02,7.066740e+00,7.929013e+00,5.542839e+07,1.034566e-08,5.158927e-06,9.951570e-02,6.929362e-10
3.981072e-02,5.011872e-02,6.298239e+00,7.066740e+00,6.534903e+07,1.034696e-08,6.083042e-06,1.173419e-01,7.524909e-10
5.011872e-02,6.309573e-02,5.613311e+00,6.298239e+00,6.971020e+07,1.034866e-08,6.490066e-06,1.251934e-01,7.773220e-10
6.309573e-02,7.943282e-02,5.002869e+00,5.613311e+00,6.641969e+07,1.035100e-08,6.185116e-06,1.193109e-01,7.589260e-10
7.943282e-02,1.000000e-01,4.458812e+00,5.002869e+00,5.833352e+07,1.035436e-08,5.433882e-06,1.048196e-01,7.114610e-10
1.000000e-01,1.258925e-01,3.973920e+00,4.458812e+00,4.433383e+07,1.035914e-08,4.131689e-06,7.970027e-02,6.205260e-10
1.258925e-01,1.584893e-01,3.541760e+00,3.973920e+00,3.352583e+07,1.036546e-08,3.126346e-06,6.030721e-02,5.399422e-10
1.584893e-01,1.995262e-01,3.156597e+00,3.541760e+00,2.532996e+07,1.037301e-08,2.363786e-06,4.559744e-02,4.696680e-10
1.995262e-01,2.511886e-01,2.813320e+00,3.156597e+00,2.140034e+07,1.038121e-08,1.998652e-06,3.855400e-02,4.320429e-10
2.511886e-01,3.162278e-01,2.507374e+00,2.813320e+00,2.068742e+07,1.038961e-08,1.933634e-06,3.729980e-02,4.251294e-10
3.162278e-01,3.981072e-01,2.234699e+00,2.507374e+00,2.032931e+07,1.039808e-08,1.901710e-06,3.668399e-02,4.217771e-10
3.981072e-01,5.011872e-01,1.991678e+00,2.234699e+00,2.036273e+07,1.040657e-08,1.906392e-06,3.677430e-02,4.224683e-10
5.011872e-01,6.309573e-01,1.775085e+00,1.991678e+00,1.996959e+07,1.041508e-08,1.871115e-06,3.609380e-02,4.187124e-10
6.309573e-01,7.943282e-01,1.582046e+00,1.775085e+00,1.976840e+07,1.042370e-08,1.853797e-06,3.575974e-02,4.169427e-10
7.943282e-01,1.000000e+00,1.410000e+00,1.582046e+00,1.971607e+07,1.043419e-08,1.850751e-06,3.570099e-02,4.168097e-10
1.000000e+00,1.258925e+00,1.256664e+00,1.410000e+00,1.972270e+07,1.045404e-08,1.854895e-06,3.578093e-02,4.176728e-10
1.258925e+00,1.584893e+00,1.120003e+00,1.256664e+00,1.974335e+07,1.048349e-08,1.862067e-06,3.591928e-02,4.190685e-10
1.584893e+00,1.988100e+00,1.000000e+00,1.120003e+00,1.952536e+07,1.051593e-08,1.847208e-06,3.563263e-02,4.180384e-10
