# in-gate IPC production spectrum (reweighted). t_ms=arrival time; dNdt in IPC pairs/pulse/ms; cdf=fraction of in-gate IPC with arrival<=t; E_eV=neutron energy
# integral(dNdt dt)= 7.182371e-05 IPC/pulse in-gate; ×1.929e+04 pulses/day; ×0.0021 capt→IPC; ×0.025 X17/IPC
t_ms,dNdt_ipc_per_pulse_per_ms,cdf,E_eV
1.000000e+00,1.638377e-05,0.000000e+00,1.988100e+00
1.002883e+00,1.633496e-05,6.567281e-04,1.976685e+00
1.005775e+00,1.628631e-05,1.313388e-03,1.965335e+00
1.008675e+00,1.623779e-05,1.969979e-03,1.954051e+00
1.011583e+00,1.618942e-05,2.626502e-03,1.942831e+00
1.014500e+00,1.614120e-05,3.282957e-03,1.931676e+00
1.017425e+00,1.609312e-05,3.939343e-03,1.920585e+00
1.020358e+00,1.604518e-05,4.595661e-03,1.909558e+00
1.023300e+00,1.599738e-05,5.251911e-03,1.898593e+00
1.026251e+00,1.594973e-05,5.908092e-03,1.887692e+00
1.029210e+00,1.590222e-05,6.564205e-03,1.876854e+00
1.032177e+00,1.585508e-05,7.220254e-03,1.866077e+00
1.035153e+00,1.580812e-05,7.876246e-03,1.855363e+00
1.038138e+00,1.576131e-05,8.532181e-03,1.844710e+00
1.041131e+00,1.571463e-05,9.188058e-03,1.834118e+00
1.044133e+00,1.566809e-05,9.843879e-03,1.823587e+00
1.047144e+00,1.562169e-05,1.049964e-02,1.813116e+00
1.050163e+00,1.557543e-05,1.115535e-02,1.802706e+00
1.053191e+00,1.552931e-05,1.181100e-02,1.792355e+00
1.056227e+00,1.548332e-05,1.246659e-02,1.782064e+00
1.059273e+00,1.543634e-05,1.312211e-02,1.771832e+00
1.062327e+00,1.538884e-05,1.377750e-02,1.761659e+00
1.065390e+00,1.534148e-05,1.443276e-02,1.751544e+00
1.068462e+00,1.529439e-05,1.508789e-02,1.741487e+00
1.071542e+00,1.524746e-05,1.574290e-02,1.731488e+00
1.074632e+00,1.520068e-05,1.639777e-02,1.721546e+00
1.077730e+00,1.515404e-05,1.705252e-02,1.711661e+00
1.080838e+00,1.510755e-05,1.770715e-02,1.701834e+00
1.083954e+00,1.506119e-05,1.836164e-02,1.692062e+00
1.087080e+00,1.501498e-05,1.901601e-02,1.682347e+00
1.090214e+00,1.496891e-05,1.967025e-02,1.672687e+00
1.093357e+00,1.492299e-05,2.032437e-02,1.663083e+00
1.096510e+00,1.487720e-05,2.097836e-02,1.653534e+00
1.099671e+00,1.483155e-05,2.163222e-02,1.644040e+00
1.102842e+00,1.478604e-05,2.228595e-02,1.634600e+00
1.106022e+00,1.474068e-05,2.293956e-02,1.625215e+00
1.109211e+00,1.469549e-05,2.359305e-02,1.615884e+00
1.112409e+00,1.465044e-05,2.424640e-02,1.606606e+00
1.115616e+00,1.460553e-05,2.489964e-02,1.597381e+00
1.118833e+00,1.456076e-05,2.555274e-02,1.588209e+00
1.122059e+00,1.451612e-05,2.620573e-02,1.579090e+00
1.125294e+00,1.447162e-05,2.685859e-02,1.570023e+00
1.128539e+00,1.442726e-05,2.751132e-02,1.561009e+00
1.131793e+00,1.438303e-05,2.816393e-02,1.552046e+00
1.135056e+00,1.433894e-05,2.881641e-02,1.543135e+00
1.138328e+00,1.429499e-05,2.946877e-02,1.534274e+00
1.141611e+00,1.425117e-05,3.012101e-02,1.525465e+00
1.144902e+00,1.420748e-05,3.077312e-02,1.516706e+00
1.148203e+00,1.416393e-05,3.142511e-02,1.507998e+00
1.151514e+00,1.412051e-05,3.207697e-02,1.499339e+00
1.154834e+00,1.407723e-05,3.272871e-02,1.490730e+00
1.158164e+00,1.403409e-05,3.338032e-02,1.482171e+00
1.161503e+00,1.399108e-05,3.403181e-02,1.473661e+00
1.164852e+00,1.394820e-05,3.468317e-02,1.465199e+00
1.168211e+00,1.390545e-05,3.533441e-02,1.456787e+00
1.171579e+00,1.386283e-05,3.598553e-02,1.448422e+00
1.174957e+00,1.382034e-05,3.663653e-02,1.440106e+00
1.178345e+00,1.377799e-05,3.728739e-02,1.431837e+00
1.181742e+00,1.373576e-05,3.793814e-02,1.423616e+00
1.185149e+00,1.369366e-05,3.858876e-02,1.415442e+00
1.188566e+00,1.365248e-05,3.923928e-02,1.407315e+00
1.191993e+00,1.361187e-05,3.988972e-02,1.399234e+00
1.195430e+00,1.357137e-05,4.054009e-02,1.391200e+00
1.198877e+00,1.353099e-05,4.119040e-02,1.383213e+00
1.202334e+00,1.349073e-05,4.184065e-02,1.375271e+00
1.205800e+00,1.345061e-05,4.249083e-02,1.367374e+00
1.209277e+00,1.341060e-05,4.314094e-02,1.359523e+00
1.212764e+00,1.337071e-05,4.379099e-02,1.351717e+00
1.216261e+00,1.333094e-05,4.444098e-02,1.343956e+00
1.219767e+00,1.329129e-05,4.509090e-02,1.336239e+00
1.223284e+00,1.325176e-05,4.574076e-02,1.328567e+00
1.226811e+00,1.321235e-05,4.639055e-02,1.320939e+00
1.230349e+00,1.317305e-05,4.704027e-02,1.313354e+00
1.233896e+00,1.313387e-05,4.768994e-02,1.305813e+00
1.237454e+00,1.309481e-05,4.833953e-02,1.298316e+00
1.241022e+00,1.305586e-05,4.898906e-02,1.290861e+00
1.244600e+00,1.301703e-05,4.963853e-02,1.283449e+00
1.248188e+00,1.297831e-05,5.028794e-02,1.276080e+00
1.251787e+00,1.293971e-05,5.093727e-02,1.268753e+00
1.255396e+00,1.290122e-05,5.158655e-02,1.261468e+00
1.259016e+00,1.286285e-05,5.223576e-02,1.254225e+00
1.262646e+00,1.282460e-05,5.288490e-02,1.247024e+00
1.266287e+00,1.278649e-05,5.353398e-02,1.239864e+00
