# thermal-gate sim rates vs arrival time by capture source, per pulse per ms, 4 walls, 0.5 MIP, plastic@2.0cm. n_events=80000000 n_pulse=4.2840e+06
quantity,t_lo_ms,t_hi_ms,t_mid_ms,Al capsule,Capsule CFRP,LS + vessel,Back plastic,SiPM scint,Gas/other,total
sipm,1.0000e+00,1.5000e+00,1.2500e+00,5.7727e+01,2.1420e-01,1.0924e+01,1.1031e+01,3.2130e+00,5.7834e+00,8.8893e+01
sipm,1.5000e+00,2.0000e+00,1.7500e+00,5.3764e+01,2.1420e-01,5.2479e+00,8.2467e+00,2.2491e+00,7.0686e+00,7.6791e+01
sipm,2.0000e+00,2.5000e+00,2.2500e+00,5.3122e+01,7.4970e-01,6.7473e+00,6.8544e+00,2.1420e+00,5.1408e+00,7.4756e+01
sipm,2.5000e+00,3.0000e+00,2.7500e+00,5.9762e+01,3.2130e-01,4.7124e+00,6.1047e+00,2.8917e+00,4.7124e+00,7.8504e+01
sipm,3.0000e+00,3.5000e+00,3.2500e+00,6.7259e+01,6.4260e-01,4.9266e+00,7.6041e+00,3.8556e+00,5.8905e+00,9.0178e+01
sipm,3.5000e+00,4.0000e+00,3.7500e+00,1.0421e+02,1.3923e+00,1.0389e+01,1.0175e+01,3.1059e+00,9.6390e+00,1.3891e+02
sipm,4.0000e+00,4.5000e+00,4.2500e+00,1.4919e+02,2.2491e+00,1.1567e+01,1.5851e+01,5.2479e+00,1.6065e+01,2.0017e+02
sipm,4.5000e+00,5.0000e+00,4.7500e+00,2.0242e+02,2.9988e+00,1.1460e+01,1.6386e+01,7.4970e+00,1.9171e+01,2.5993e+02
sipm,5.0000e+00,5.5000e+00,5.2500e+00,2.3508e+02,3.4272e+00,1.5208e+01,2.0563e+01,8.4609e+00,2.6882e+01,3.0963e+02
sipm,5.5000e+00,6.0000e+00,5.7500e+00,2.4365e+02,3.3201e+00,1.2102e+01,1.7564e+01,1.1031e+01,2.4205e+01,3.1188e+02
sipm,6.0000e+00,6.5000e+00,6.2500e+00,2.4226e+02,4.2840e+00,1.1674e+01,1.8314e+01,1.0389e+01,2.3776e+01,3.1070e+02
sipm,6.5000e+00,7.0000e+00,6.7500e+00,2.1056e+02,3.3201e+00,9.6390e+00,1.2531e+01,9.7461e+00,2.1313e+01,2.6711e+02
sipm,7.0000e+00,7.5000e+00,7.2500e+00,2.0424e+02,2.8917e+00,1.0175e+01,1.3602e+01,7.3899e+00,1.7672e+01,2.5597e+02
sipm,7.5000e+00,8.0000e+00,7.7500e+00,1.7672e+02,2.3562e+00,4.7124e+00,1.0067e+01,6.2118e+00,1.5530e+01,2.1559e+02
sipm,8.0000e+00,8.5000e+00,8.2500e+00,1.5787e+02,1.8207e+00,5.0337e+00,9.8532e+00,5.0337e+00,1.1031e+01,1.9064e+02
sipm,8.5000e+00,9.0000e+00,8.7500e+00,1.3334e+02,1.0710e+00,5.0337e+00,4.6053e+00,4.4982e+00,1.0817e+01,1.5936e+02
sipm,9.0000e+00,9.5000e+00,9.2500e+00,1.2209e+02,1.4994e+00,3.2130e+00,7.4970e+00,3.7485e+00,1.1460e+01,1.4951e+02
