# thermal-gate sim rates vs arrival time, per pulse, summed over 4 walls, 0.5 MIP. n_events=80000000 n_pulse=4.2840e+06. Poisson errors.
t_lo_ms,t_hi_ms,t_mid_ms,sipm_per_pulse_per_ms,sipm_err,plastic2.0cm_per_pulse_per_ms,plastic2.0cm_err,plastic2.5cm_per_pulse_per_ms,plastic2.5cm_err,leg2.0cm_per_pulse_per_ms,leg2.0cm_err,leg2.5cm_per_pulse_per_ms,leg2.5cm_err
1.000000e+00,1.500000e+00,1.250000e+00,8.889300e+01,3.085521e+00,6.136830e+01,2.563698e+00,1.724310e+01,1.358947e+00,7.818300e+00,9.150628e-01,6.318900e+00,8.226507e-01
1.500000e+00,2.000000e+00,1.750000e+00,7.679070e+01,2.867801e+00,4.733820e+01,2.251649e+00,1.520820e+01,1.276244e+00,6.854400e+00,8.568000e-01,5.569200e+00,7.723091e-01
2.000000e+00,2.500000e+00,2.250000e+00,7.475580e+01,2.829549e+00,4.733820e+01,2.251649e+00,1.756440e+01,1.371549e+00,7.175700e+00,8.766513e-01,6.426000e+00,8.295930e-01
2.500000e+00,3.000000e+00,2.750000e+00,7.850430e+01,2.899622e+00,4.401810e+01,2.171253e+00,1.981350e+01,1.456717e+00,8.139600e+00,9.336762e-01,7.068600e+00,8.700845e-01
3.000000e+00,3.500000e+00,3.250000e+00,9.017820e+01,3.107746e+00,4.776660e+01,2.261814e+00,2.002770e+01,1.464570e+00,8.139600e+00,9.336762e-01,7.282800e+00,8.831692e-01
3.500000e+00,4.000000e+00,3.750000e+00,1.389087e+02,3.857087e+00,7.164990e+01,2.770145e+00,2.988090e+01,1.788923e+00,1.360170e+01,1.206956e+00,1.124550e+01,1.097448e+00
4.000000e+00,4.500000e+00,4.250000e+00,2.001699e+02,4.630140e+00,1.064574e+02,3.376624e+00,4.755240e+01,2.256737e+00,2.302650e+01,1.570394e+00,1.917090e+01,1.432900e+00
4.500000e+00,5.000000e+00,4.750000e+00,2.599317e+02,5.276238e+00,1.226295e+02,3.624034e+00,5.301450e+01,2.382825e+00,2.452590e+01,1.620717e+00,2.163420e+01,1.522177e+00
5.000000e+00,5.500000e+00,5.250000e+00,3.096261e+02,5.758555e+00,1.491903e+02,3.997284e+00,6.758010e+01,2.690321e+00,3.063060e+01,1.811225e+00,2.484720e+01,1.631299e+00
5.500000e+00,6.000000e+00,5.750000e+00,3.118752e+02,5.779432e+00,1.414791e+02,3.892610e+00,6.618780e+01,2.662464e+00,2.977380e+01,1.785714e+00,2.516850e+01,1.641812e+00
6.000000e+00,6.500000e+00,6.250000e+00,3.106971e+02,5.768506e+00,1.386945e+02,3.854112e+00,6.479550e+01,2.634312e+00,2.934540e+01,1.772820e+00,2.538270e+01,1.648784e+00
6.500000e+00,7.000000e+00,6.750000e+00,2.671074e+02,5.348570e+00,1.203804e+02,3.590646e+00,5.601330e+01,2.449291e+00,2.431170e+01,1.613624e+00,1.949220e+01,1.444858e+00
7.000000e+00,7.500000e+00,7.250000e+00,2.559690e+02,5.235865e+00,1.023876e+02,3.311452e+00,5.183640e+01,2.356200e+00,2.291940e+01,1.566738e+00,1.959930e+01,1.448822e+00
7.500000e+00,8.000000e+00,7.750000e+00,2.155923e+02,4.805199e+00,9.778230e+01,3.236122e+00,5.654880e+01,2.460971e+00,2.431170e+01,1.613624e+00,2.099160e+01,1.499400e+00
8.000000e+00,8.500000e+00,8.250000e+00,1.906380e+02,4.518554e+00,7.689780e+01,2.869800e+00,4.176900e+01,2.115056e+00,1.917090e+01,1.432900e+00,1.606500e+01,1.311702e+00
8.500000e+00,9.000000e+00,8.750000e+00,1.593648e+02,4.131340e+00,7.047180e+01,2.747277e+00,3.716370e+01,1.995052e+00,1.670760e+01,1.337679e+00,1.381590e+01,1.216422e+00
9.000000e+00,9.500000e+00,9.250000e+00,1.495116e+02,4.001586e+00,5.901210e+01,2.514000e+00,3.191580e+01,1.848833e+00,1.445850e+01,1.244390e+00,1.220940e+01,1.143515e+00
9.500000e+00,1.000000e+01,9.750000e+00,1.204875e+02,3.592243e+00,4.905180e+01,2.292040e+00,2.752470e+01,1.716944e+00,1.156680e+01,1.113016e+00,9.424800e+00,1.004687e+00
1.000000e+01,1.050000e+01,1.025000e+01,1.059219e+02,3.368120e+00,4.680270e+01,2.238877e+00,2.731050e+01,1.710250e+00,1.124550e+01,1.097448e+00,1.017450e+01,1.043882e+00
